type,component,rank,mean,var,mean_all,var_group
transitionFreq,8,4,8.566666666666666,3.123333333333332,10.923469387755102,21.59075942894164
ball-handlerFreq,5,1,0.5,0.75,10.6265306122449,53.118622240733046
ball-handlerFreq,4,5,7.900000000000001,15.610000000000005,10.6265306122449,53.118622240733046
roll-manFreq,6,1,0.0,0.0,7.512244897959184,35.522841547503354
roll-manFreq,9,2,0.0,0.0,7.512244897959184,35.522841547503354
roll-manFreq,10,3,0.0,0.0,7.512244897959184,35.522841547503354
roll-manFreq,1,4,0.3,0.27,7.512244897959184,35.522841547503354
roll-manFreq,4,5,1.5,6.75,7.512244897959184,35.522841547503354
playtype-post-upFreq,6,1,0.0,0.0,7.990816326530613,43.4231999861169
playtype-post-upFreq,9,2,0.0,0.0,7.990816326530613,43.4231999861169
playtype-post-upFreq,10,3,0.3333333333333333,0.3333333333333333,7.990816326530613,43.4231999861169
playtype-post-upFreq,3,4,3.266666666666667,32.013333333333335,7.990816326530613,43.4231999861169
spot-upFreq,1,1,4.233333333333333,53.76333333333333,18.437755102040818,76.29888576519045
spot-upFreq,8,5,15.5,72.51999999999998,18.437755102040818,76.29888576519045
hand-offFreq,5,1,0.3,0.2700000000000001,3.5989795918367347,8.369406936924431
hand-offFreq,7,2,1.1333333333333333,3.853333333333333,3.5989795918367347,8.369406936924431
hand-offFreq,2,4,2.766666666666667,6.043333333333335,3.5989795918367347,8.369406936924431
cutFreq,1,1,0.6,1.08,7.059183673469389,18.61355939654774
cutFreq,10,2,1.1,0.91,7.059183673469389,18.61355939654774
cutFreq,9,3,1.3,5.069999999999999,7.059183673469389,18.61355939654774
cutFreq,6,4,2.6,5.559999999999999,7.059183673469389,18.61355939654774
cutFreq,2,5,2.8666666666666667,11.453333333333331,7.059183673469389,18.61355939654774
off-screenFreq,7,1,0.0,0.0,4.834693877551021,21.564990513212088
off-screenFreq,5,2,1.0666666666666669,3.413333333333334,4.834693877551021,21.564990513212088
off-screenFreq,3,3,1.4666666666666668,6.453333333333334,4.834693877551021,21.564990513212088
off-screenFreq,10,4,1.7666666666666666,2.763333333333333,4.834693877551021,21.564990513212088
off-screenFreq,1,5,2.4,17.28,4.834693877551021,21.564990513212088
off-screenFreq,9,6,3.333333333333333,12.333333333333334,4.834693877551021,21.564990513212088
putbacksFreq,10,1,0.0,0.0,4.741836734693877,9.636167545929936
putbacksFreq,1,2,0.6333333333333333,1.2033333333333331,4.741836734693877,9.636167545929936
putbacksFreq,9,3,1.2666666666666668,1.8433333333333333,4.741836734693877,9.636167545929936
putbacksFreq,2,4,1.3333333333333333,5.333333333333334,4.741836734693877,9.636167545929936
putbacksFreq,4,5,1.5,6.75,4.741836734693877,9.636167545929936
putbacksFreq,6,6,1.7666666666666666,2.9033333333333333,4.741836734693877,9.636167545929936
playtype-miscFreq,4,4,3.9333333333333336,2.9633333333333347,5.342857142857143,3.841170068027212
playtype-miscFreq,6,6,4.933333333333334,1.3633333333333335,5.342857142857143,3.841170068027212
