,0,1,2,3
NikolaPekovic,7.89644036392241e-18,6.888172178779403e-63,0.10943810360757651,4.518153099494846e-241
SeanKilpatrick,7.89644036392241e-18,6.888172178779403e-63,0.10943810360757651,4.518153099494846e-241
MirzaTeletovic,2.0345957587387e-22,0.00820178166342455,0.07484391227163556,2.2173054691446376e-186
PatrickPatterson,0.0485256600116199,1.0792257081706643e-45,0.05604992916511708,2.891607478414203e-179
JonLeuer,3.588242242631552e-18,3.766787576783893e-65,0.054719049810356565,0.001671675802921495
