,0,1,2,3
MasonPlumlee,0.0,0.115710461243297,0.0,0.0
DamienInglis,0.0,0.115710461243297,0.0,0.0
KentaviousCaldwell-Pope,0.0,0.08768404644211095,0.0,0.0
PaulMillsap,3.14749712387741e-307,0.05686261763785607,3.539080704253012e-80,0.0014969931719582459
DeJuanBlair,0.0,0.05652766311126181,2.5018915564775526e-163,6.217634993450191e-169
