,0,1,2,3
PatConnaughton,0.12904497809912127,6.897135182460721e-31,1.4267980553486517e-250,1.0488126577564418e-143
BrandonJennings,0.12904497809912127,6.897135182460721e-31,1.4267980553486517e-250,1.0488126577564418e-143
SteveNovak,0.12904497809912127,6.897135182460721e-31,1.4267980553486517e-250,1.0488126577564418e-143
KendrickPerkins,0.12904497809912127,6.897135182460721e-31,1.4267980553486517e-250,1.0488126577564418e-143
KobeBryant,0.12904497809912127,6.897135182460721e-31,1.4267980553486517e-250,1.0488126577564418e-143
