,0,1,2,3
DanteCunningham,0.02128842082288511,9.142823751998252e-93,3.329142249526458e-103,0.07304660324327408
TerrenceRoss,0.06432865662569956,7.465424837973429e-103,1.1338879549905688e-259,0.0675511503400429
ArronAfflalo,0.036472915497235185,1.6187366447792372e-74,0.01607576172331196,0.055090610108842905
DwightHoward,0.02436507477741911,0.0021586951686531517,0.0053423856484213425,0.04871793537708754
ZachRandolph,0.00011811657087460676,0.003820556730549433,0.033943955605651464,0.04386872390814591
