,0,1
KendrickPerkins,0.13499851601327215,2.5942180624849358e-74
SteveNovak,0.13499851601327215,2.5942180624849358e-74
PatConnaughton,0.13499851601327215,2.5942180624849358e-74
BrandonJennings,0.13499851601327215,2.5942180624849358e-74
KobeBryant,0.13499851601327215,2.5942180624849358e-74
