id,name,group,Dis2Center
0,0,0,0.011707767310583985
1,JamesJohnson,2,0.020857163411338482
2,LuisScola,2,0.038117573007100974
3,DeMarreCarroll,0,0.02870575875929468
4,CoryJoseph,2,0.029334331757258365
5,KyleLowry,3,0.07406307805303924
6,BismackBiyombo,2,0.018673323688779282
7,DeMarDeRozan,1,0.06653280779205797
8,JonasValanciunas,2,0.013096270419188257
9,BrunoCaboclo,0,0.011707767310583985
10,TerrenceRoss,0,0.03383595102656404
11,PatrickPatterson,0,0.034651202295810805
12,DelonWright,0,0.01004183598460456
13,LucasNogueira,0,0.010294724165943745
14,MarvinWilliams,0,0.035127851338684526
15,JeremyLamb,3,0.025007450023828773
16,NicolasBatum,3,0.040936142373992575
17,JeremyLin,3,0.02967740068846722
18,AaronHarrison,0,0.011519760763282967
19,KembaWalker,1,0.0706919107495962
20,PJHairston,0,0.02751294116881701
21,BrianRoberts,0,0.011353326420747063
22,TroyDaniels,0,0.012542403491541275
23,CodyZeller,2,0.025417352923799163
24,FrankKaminsky,2,0.03999747269071312
25,TylerHansbrough,0,0.009053949488751737
26,SpencerHawes,0,0.018911464152192307
27,ChrisBosh,1,0.06252380197556325
28,DwyaneWade,1,0.03214812801085123
29,Amar'eStoudemire,0,0.012978450842505627
30,GoranDragic,2,0.03204332060794801
31,TylerJohnson,2,0.021405456866317115
32,LuolDeng,2,0.031142024085840752
33,ChrisAndersen,0,0.011084825262028421
34,GeraldGreen,3,0.030928557148017878
35,BenoUdrih,0,0.011707767310583985
36,JustiseWinslow,2,0.01942335740470657
37,HassanWhiteside,1,0.046682346967855747
38,UdonisHaslem,0,0.011061574576454639
39,RaymondFelton,2,0.03504844786135375
40,CharlieVillanueva,0,0.02960433129196663
41,Jose JuanBarea,3,0.03506105382971066
42,DwightPowell,2,0.02309829821083491
43,DeronWilliams,3,0.04657824433850182
44,JaValeMcGee,2,0.018405835813388855
45,JohnJenkins,0,0.007880486732067815
46,JeremyEvans,0,0.006948712189531764
47,WesleyMatthews,3,0.05263485342961201
48,ChandlerParsons,2,0.03354533454292482
49,ZazaPachulia,2,0.037096794983576944
50,DevinHarris,2,0.029749204090904185
51,DirkNowitzki,3,0.07545020062244638
52,AaronBrooks,0,0.030697323632008017
53,DougMcDermott,0,0.02499745097643921
54,BobbyPortis,0,0.022611156171021215
55,KirkHinrich,0,0.009341702261647922
56,PauGasol,1,0.07701922090387787
57,TonySnell,0,0.0204330036048507
58,JimmyButler,1,0.04354593430546522
59,TajGibson,2,0.032641605853907234
60,CameronBairstow,0,0.008757697769270597
61,NikolaMirotic,3,0.037399992718682
62,E'TwaunMoore,0,0.01716759745004688
63,DerrickRose,1,0.034694954348795055
64,JoakimNoah,0,0.02654902205806261
65,KevinSeraphin,0,0.02430130960139424
66,LangstonGalloway,3,0.023825613139002916
67,JoseCalderon,3,0.046616324305515364
68,ArronAfflalo,3,0.048971322631218506
69,KristapsPorzingis,3,0.04598958793170282
70,CarmeloAnthony,1,0.08349277505337122
71,RobinLopez,1,0.0870060348051755
72,KyleO'Quinn,0,0.02013403678690805
73,JerianGrant,0,0.024649159521196
74,SashaVujacic,0,0.008609895340784941
75,DerrickWilliams,2,0.02613064120054492
76,LanceThomas,2,0.03438172852576956
77,DrewGooden,0,0.011229771293134731
78,KrisHumphries,0,0.03711332164433426
79,MarcinGortat,1,0.054960303069740674
80,JaredDudley,0,0.040030031281155516
81,RamonSessions,2,0.03622632109067759
82,DeJuanBlair,0,0.011707767310583985
83,GarrettTemple,2,0.03062995600980025
84,JohnWall,1,0.09113611737341265
85,GaryNeal,0,0.011707767310583985
86,OttoPorter,3,0.025480217666418545
87,JarellEddie,0,0.010825287307347895
88,KellyOubre,0,0.016522566606544466
89,ChanningFrye,0,0.02923306327341016
90,JasonSmith,0,0.04021518831156249
91,NikolaVucevic,1,0.09366966713179481
92,TobiasHarris,1,0.048374602244665894
93,AndrewNicholson,2,0.03852632026459193
94,EvanFournier,3,0.032169719577972634
95,DewayneDedmon,0,0.018173830316988156
96,VictorOladipo,3,0.04185250960252548
97,ShabazzNapier,0,0.02689970908917679
98,ElfridPayton,1,0.030198474717223082
99,AaronGordon,2,0.016903641368801493
100,MarioHezonja,0,0.014505775872745371
101,MettaWorld Peace,0,0.010426290551129192
102,BrandonBass,2,0.0204264762572398
103,LouWilliams,3,0.03570116276292611
104,NickYoung,0,0.026987569391884993
105,RoyHibbert,2,0.02254891285190517
106,RobertSacre,0,0.008717089990960854
107,RyanKelly,0,0.011264436111477887
108,JordanClarkson,3,0.039032473580102686
109,JuliusRandle,2,0.03789939738629056
110,AnthonyBrown,0,0.009798741458105664
111,D'AngeloRussell,3,0.03153918090171122
112,LarryNance Jr.,0,0.030108478473525803
113,MarceloHuertas,0,0.010316541327192666
114,CarlLandry,0,0.016500515514568142
115,IshSmith,2,0.028408864949458445
116,KendallMarshall,0,0.007869672519896396
117,HollisThompson,0,0.037317252736512846
118,NerlensNoel,2,0.03781677396053285
119,IsaiahCanaan,3,0.041204523843009315
120,RobertCovington,3,0.03633771771746122
121,NikStauskas,0,0.02442014732765643
122,JeramiGrant,2,0.026970114634885696
123,JaKarrSampson,2,0.01737413503449181
124,TJMcConnell,0,0.030646434526603906
125,JahlilOkafor,1,0.05396146362821209
126,RichaunHolmes,2,0.022057555010674065
127,AveryBradley,3,0.04495758315012466
128,IsaiahThomas,1,0.0606868891060431
129,JaredSullinger,2,0.04103317126294423
130,JonasJerebko,0,0.011092883185465134
131,EvanTurner,3,0.04101270534380971
132,JamesYoung,0,0.010362928945308622
133,MarcusSmart,0,0.017140656770816533
134,KellyOlynyk,2,0.02645177050565895
135,DavidLee,2,0.010508901026835103
136,TylerZeller,0,0.01886846905481552
137,AmirJohnson,2,0.03327031159723482
138,JaeCrowder,3,0.039263840596666356
139,ShaneLarkin,2,0.02495839880837993
140,JarrettJack,3,0.04143473919471622
141,JoeJohnson,3,0.0723269426536788
142,AndreaBargnani,0,0.011707767310583985
143,SergeyKarasev,0,0.009314301430769745
144,BrookLopez,1,0.09427829311667962
