id,name,group,Dis2Center
0,0,1,0.010438590484352035
1,JamesJohnson,2,0.02582476205674763
2,LuisScola,2,0.041027433270942035
3,DeMarreCarroll,1,0.029384584059371215
4,CoryJoseph,2,0.02652529117819948
5,KyleLowry,0,0.07157659739815986
6,BismackBiyombo,2,0.02821723778182448
7,DeMarDeRozan,0,0.07033273221802981
8,JonasValanciunas,2,0.029099346735011227
9,BrunoCaboclo,1,0.010438590484352035
10,TerrenceRoss,1,0.03431518450908926
11,PatrickPatterson,1,0.035014688798835375
12,DelonWright,1,0.00887091662811134
13,LucasNogueira,1,0.010061700002767853
14,MarvinWilliams,1,0.03566680116811595
15,JeremyLamb,2,0.025931207525986853
16,NicolasBatum,2,0.052313434698868164
17,JeremyLin,2,0.03095773354082704
18,AaronHarrison,1,0.010246314448929155
19,KembaWalker,0,0.06814838984753693
20,PJHairston,1,0.028338264825000185
21,BrianRoberts,1,0.01086782873079168
22,TroyDaniels,1,0.01179460185142569
23,CodyZeller,2,0.03858741209199483
24,FrankKaminsky,2,0.036833474490271606
25,TylerHansbrough,1,0.00865247711478547
26,SpencerHawes,1,0.01966106556824355
27,ChrisBosh,0,0.060172296398440885
28,DwyaneWade,0,0.03331937089476187
29,Amar'eStoudemire,1,0.013411880962184425
30,GoranDragic,2,0.033369329979264846
31,TylerJohnson,2,0.020495682705114183
32,LuolDeng,2,0.03890143218442223
33,ChrisAndersen,1,0.00983096447929961
34,GeraldGreen,2,0.03149354628757825
35,BenoUdrih,1,0.010438590484352035
36,JustiseWinslow,2,0.027851200479817654
37,HassanWhiteside,0,0.04221259326231127
38,UdonisHaslem,1,0.010106435430221758
39,RaymondFelton,2,0.030394461810843747
40,CharlieVillanueva,2,0.025693625347025233
41,Jose JuanBarea,2,0.04054435661139424
42,DwightPowell,2,0.035032772522966965
43,DeronWilliams,2,0.046701388428431356
44,JaValeMcGee,2,0.027213164940318196
45,JohnJenkins,1,0.007578566575800446
46,JeremyEvans,1,0.0062664422279122885
47,WesleyMatthews,2,0.05227744815603362
48,ChandlerParsons,2,0.03845985123970773
49,ZazaPachulia,0,0.03802350465327168
50,DevinHarris,2,0.025580584764154143
51,DirkNowitzki,2,0.0886781946590634
52,AaronBrooks,2,0.02727085901415695
53,DougMcDermott,2,0.023233456309185163
54,BobbyPortis,1,0.023141300175245166
55,KirkHinrich,1,0.009395646504879115
56,PauGasol,0,0.07979863686453087
57,TonySnell,1,0.021214080529616333
58,JimmyButler,0,0.04250520210270301
59,TajGibson,0,0.042067753332964045
60,CameronBairstow,1,0.007677040343291789
61,NikolaMirotic,2,0.034876505710773525
62,E'TwaunMoore,1,0.017741562375621883
63,DerrickRose,0,0.02957618548902867
64,JoakimNoah,1,0.027514754678217516
65,KevinSeraphin,1,0.024791254926875627
66,LangstonGalloway,2,0.014017644068100273
67,JoseCalderon,2,0.055083978026266585
68,ArronAfflalo,2,0.05228007187386525
69,KristapsPorzingis,2,0.05125765802923823
70,CarmeloAnthony,0,0.08412606240304593
71,RobinLopez,0,0.0873236081710892
72,KyleO'Quinn,1,0.020922426930923586
73,JerianGrant,2,0.024635290778074026
74,SashaVujacic,1,0.007532048266796624
75,DerrickWilliams,2,0.033701881015027725
76,LanceThomas,2,0.029531523899760503
77,DrewGooden,1,0.010259905325323263
78,KrisHumphries,1,0.03758106199829386
79,MarcinGortat,0,0.05346733169389704
80,JaredDudley,2,0.03746074610260494
81,RamonSessions,0,0.03494856601880856
82,DeJuanBlair,1,0.010438590484352035
83,GarrettTemple,2,0.02348984949786333
84,JohnWall,0,0.09275022644059955
85,GaryNeal,1,0.010438590484352035
86,OttoPorter,2,0.030777814602633655
87,JarellEddie,1,0.00957691227007692
88,KellyOubre,1,0.017360167855446796
89,ChanningFrye,1,0.029429962313059964
90,JasonSmith,1,0.04053338556034139
91,NikolaVucevic,0,0.10005179219979803
92,TobiasHarris,0,0.043876492177071263
93,AndrewNicholson,2,0.03597253429940924
94,EvanFournier,2,0.04056954318287449
95,DewayneDedmon,1,0.018938390589101614
96,VictorOladipo,2,0.04845374966773062
97,ShabazzNapier,1,0.026964415605274433
98,ElfridPayton,0,0.022432564707106976
99,AaronGordon,2,0.02251970959578203
100,MarioHezonja,1,0.0151198946536574
101,MettaWorld Peace,1,0.009953173149829709
102,BrandonBass,2,0.030613436207419544
103,LouWilliams,2,0.038504659682199543
104,NickYoung,1,0.027246248933161014
105,RoyHibbert,2,0.02203360663718062
106,RobertSacre,1,0.007824998299092258
107,RyanKelly,1,0.011335132704845749
108,JordanClarkson,2,0.04500550944689601
109,JuliusRandle,0,0.033245475597883746
110,AnthonyBrown,1,0.008817693629765672
111,D'AngeloRussell,2,0.04185733830937568
112,LarryNance Jr.,2,0.02998332952548562
113,MarceloHuertas,1,0.010334001436271657
114,CarlLandry,1,0.01692161684213809
115,IshSmith,2,0.033808688656841224
116,KendallMarshall,1,0.006737224924635601
117,HollisThompson,2,0.03588734427581821
118,NerlensNoel,0,0.04274160262080598
119,IsaiahCanaan,2,0.047117245163336034
120,RobertCovington,2,0.036752392486306
121,NikStauskas,1,0.025206456150292465
122,JeramiGrant,2,0.040645715227779794
123,JaKarrSampson,2,0.024589298874981805
124,TJMcConnell,1,0.031411856005515285
125,JahlilOkafor,0,0.057836119195210325
126,RichaunHolmes,2,0.03276033201081009
127,AveryBradley,2,0.054580205802985664
128,IsaiahThomas,0,0.05758258154418759
129,JaredSullinger,2,0.03818275451724639
130,JonasJerebko,1,0.011780652788645558
131,EvanTurner,2,0.04027900803796744
132,JamesYoung,1,0.009361886209947164
133,MarcusSmart,1,0.018120342756298553
134,KellyOlynyk,2,0.025858817508840417
135,DavidLee,2,0.02641316191213824
136,TylerZeller,1,0.01963214477393789
137,AmirJohnson,2,0.0442939255575265
138,JaeCrowder,2,0.03948171017086692
139,ShaneLarkin,2,0.025375441548808893
140,JarrettJack,2,0.040905957080614175
141,JoeJohnson,2,0.07787722858901748
142,AndreaBargnani,1,0.010438590484352035
143,SergeyKarasev,1,0.008184468732043931
144,BrookLopez,0,0.10139401479140883
145,DonaldSloan,1,0.018751685005799087
146,WayneEllington,1,0.03261253630942508
147,MarkelBrown,1,0.008402558251556645
148,ThaddeusYoung,0,0.10644927351125033
149,WillieReed,2,0.031102715032247867
150,ThomasRobinson,2,0.02938713470161347
151,BojanBogdanovic,2,0.026088995647170495
152,ShaunLivingston,2,0.03681179096331196
153,AndreIguodala,2,0.027902471176993883
154,AndrewBogut,2,0.04008760000003288
155,JasonThompson,1,0.007347810185377921
156,BrandonRush,1,0.01791863914190414
157,MarreeseSpeights,1,0.029686967541038105
158,StephenCurry,0,0.10958138292561767
159,KlayThompson,2,0.04972858697560527
160,HarrisonBarnes,2,0.020587553916947762
161,FestusEzeli,2,0.03493754978855078
162,DraymondGreen,0,0.05039666325899678
163,IanClark,2,0.02882133347518149
164,James MichaelMcAdoo,1,0.007995532637420498
165,MikeMiller,1,0.013637671123829305
166,JameerNelson,2,0.042496541090421454
167,RandyFoye,2,0.0311346568905231
168,DaniloGallinari,2,0.04631216054191203
169,JJHickson,2,0.024416231656893873
170,DarrellArthur,2,0.03891389764407325
171,KennethFaried,0,0.05606343334868425
172,WillBarton,0,0.04504991748808365
173,KostasPapanikolaou,1,0.010438590484352035
174,JoffreyLauvergne,2,0.023877076250610453
175,GaryHarris,2,0.030267909783369733
176,JusufNurkic,1,0.0074209167920783504
177,NikolaJokic,2,0.03488722860374419
178,CJMiles,2,0.05647395843897058
179,JoeYoung,1,0.007942671756567937
180,RodneyStuckey,2,0.02990282906427882
181,GeorgeHill,2,0.03149772837993832
182,LavoyAllen,2,0.03291762864779518
183,ChaseBudinger,2,0.025239196741930613
184,MontaEllis,0,0.04535739528196007
185,PaulGeorge,0,0.0891871974885225
186,JordanHill,2,0.04454559241539041
187,IanMahinmi,0,0.04346846868526939
188,MylesTurner,1,0.022038919195330308
189,GlennRobinson,1,0.013205728380754561
190,SolomonHill,1,0.012054921382668666
191,AndreDrummond,0,0.08037322744375146
192,ReggieJackson,0,0.047106192238696346
193,StanleyJohnson,2,0.02620608092336677
194,KentaviousCaldwell-Pope,2,0.043115575105862974
195,DarrunHilliard,1,0.007739657431268977
196,BrandonJennings,1,0.0059622107234349785
197,AronBaynes,2,0.024671782530585402
198,MarcusMorris,2,0.03913355332194663
199,SteveBlake,1,0.012605414778942949
200,ErsanIlyasova,2,0.03843969898844881
201,ReggieBullock,1,0.010019711881360886
202,AnthonyTolliver,1,0.020533302850661902
203,JoelAnthony,1,0.009369177527612984
204,TimDuncan,2,0.04019865703849925
205,ManuGinobili,2,0.020053728268132214
206,TonyParker,2,0.04584667205771156
207,DavidWest,2,0.03527717796513792
208,BorisDiaw,2,0.02686498266395666
209,MattBonner,1,0.009209642141472733
210,LaMarcusAldridge,2,0.05424096322492046
211,DannyGreen,1,0.025551740815294356
212,PattyMills,1,0.03538225470617876
213,KawhiLeonard,2,0.04174790796086935
214,JonathonSimmons,2,0.025590506589753682
215,KyleAnderson,1,0.015964328624560622
216,BobanMarjanovic,1,0.016646926707904224
217,JasonTerry,1,0.02420883971777506
218,DwightHoward,0,0.05669986006258441
219,TrevorAriza,2,0.03898364522522796
220,CoreyBrewer,2,0.027729491759998014
221,JamesHarden,0,0.0987940056831884
222,TyLawson,2,0.025524789751449492
223,PatrickBeverley,1,0.024902555765692506
224,MarcusThornton,2,0.02257990106596564
