id,name,group,Dis2Center
0,0,1,0.010569671851715886
1,JamesJohnson,2,0.01707371474176167
2,LuisScola,2,0.04040259128626266
3,DeMarreCarroll,1,0.029214419277040556
4,CoryJoseph,2,0.024901385807521777
5,KyleLowry,0,0.06810806220215729
6,BismackBiyombo,2,0.01715145961511172
7,DeMarDeRozan,0,0.07024064243101442
8,JonasValanciunas,2,0.01783159280457313
9,BrunoCaboclo,1,0.010569671851715886
10,TerrenceRoss,1,0.034213979582003964
11,PatrickPatterson,1,0.034863813519547426
12,DelonWright,1,0.008947261450358767
13,LucasNogueira,1,0.010224873033521233
14,MarvinWilliams,1,0.035572803136266186
15,JeremyLamb,4,0.024961342737389668
16,NicolasBatum,4,0.04155270546225501
17,JeremyLin,4,0.030346577731780736
18,AaronHarrison,1,0.010375021055679775
19,KembaWalker,0,0.04341104038955058
20,PJHairston,1,0.028318350043412988
21,BrianRoberts,1,0.01089041203767144
22,TroyDaniels,1,0.01190466203945152
23,CodyZeller,2,0.029688766211267266
24,FrankKaminsky,2,0.03821501362577042
25,TylerHansbrough,1,0.008815752399189051
26,SpencerHawes,1,0.01949761655063841
27,ChrisBosh,3,0.06480084517246561
28,DwyaneWade,3,0.04078402511068259
29,Amar'eStoudemire,1,0.013391587361549207
30,GoranDragic,2,0.032174695506546905
31,TylerJohnson,2,0.017313537462647004
32,LuolDeng,2,0.03392919600581073
33,ChrisAndersen,1,0.009965822586126005
34,GeraldGreen,4,0.029909306573922885
35,BenoUdrih,1,0.010569671851715886
36,JustiseWinslow,2,0.019812405665807095
37,HassanWhiteside,3,0.031222638602459753
38,UdonisHaslem,1,0.010100429858949881
39,RaymondFelton,2,0.0343175825942029
40,CharlieVillanueva,2,0.027084444108706602
41,Jose JuanBarea,4,0.03487786098490327
42,DwightPowell,2,0.02805781893344886
43,DeronWilliams,4,0.04630818704861646
44,JaValeMcGee,2,0.01604292975885951
45,JohnJenkins,1,0.007601618829241335
46,JeremyEvans,1,0.006364100292120257
47,WesleyMatthews,4,0.05169283622165414
48,ChandlerParsons,3,0.035980880958861185
49,ZazaPachulia,3,0.021567342604919708
50,DevinHarris,2,0.023903017836743798
51,DirkNowitzki,4,0.07531396191154091
52,AaronBrooks,2,0.028033226865311543
53,DougMcDermott,1,0.025954867984120628
54,BobbyPortis,1,0.023036192499208817
55,KirkHinrich,1,0.009306367381834919
