id,name,group,Dis2Center
0,0,1,0.009938098644237711
1,JamesJohnson,3,0.01530263290490457
2,LuisScola,0,0.03339247166062547
3,DeMarreCarroll,1,0.029572989423639465
4,CoryJoseph,3,0.026951700204297088
5,KyleLowry,5,0.06734937688880932
6,BismackBiyombo,3,0.014924589311822944
7,DeMarDeRozan,0,0.06919271030978386
8,JonasValanciunas,3,0.01950433182778646
9,BrunoCaboclo,1,0.009938098644237711
10,TerrenceRoss,2,0.032417423004195284
11,PatrickPatterson,1,0.03522985083755112
12,DelonWright,1,0.008334457077783401
13,LucasNogueira,1,0.00996976393530889
14,MarvinWilliams,2,0.03256591826616579
15,JeremyLamb,2,0.02571953821714477
16,NicolasBatum,2,0.039224958513633654
17,JeremyLin,2,0.03384366295939027
18,AaronHarrison,1,0.00975014694674696
19,KembaWalker,5,0.04576790420299015
20,PJHairston,1,0.02887046022244592
21,BrianRoberts,1,0.01065581065532973
22,TroyDaniels,1,0.011732261717016182
23,CodyZeller,3,0.030444894677709222
24,FrankKaminsky,3,0.03720359602842238
25,TylerHansbrough,1,0.008614902881371757
26,SpencerHawes,1,0.01997322868958482
27,ChrisBosh,4,0.06452633973328353
28,DwyaneWade,4,0.041937945924151974
29,Amar'eStoudemire,1,0.013480289577767746
30,GoranDragic,3,0.03374753116877742
31,TylerJohnson,3,0.015885835840523117
32,LuolDeng,3,0.03360209428226832
33,ChrisAndersen,1,0.009375551866784206
34,GeraldGreen,2,0.030067936903310655
35,BenoUdrih,1,0.009938098644237711
36,JustiseWinslow,3,0.017816545526394636
37,HassanWhiteside,4,0.029079435355561335
38,UdonisHaslem,1,0.009682889682550492
39,RaymondFelton,0,0.021783798873465994
40,CharlieVillanueva,3,0.026576348820819176
41,Jose JuanBarea,2,0.03554578112919136
42,DwightPowell,3,0.02893083929281803
43,DeronWilliams,0,0.038729006136700765
44,JaValeMcGee,3,0.014044078559128533
45,JohnJenkins,1,0.007331233464067119
46,JeremyEvans,1,0.005894205923383796
47,WesleyMatthews,2,0.05012674491107168
48,ChandlerParsons,3,0.03840214430103099
49,ZazaPachulia,4,0.021772271757093294
50,DevinHarris,3,0.023645904061493552
51,DirkNowitzki,2,0.0750301189119133
52,AaronBrooks,3,0.02719209794160535
53,DougMcDermott,2,0.02517246085239057
54,BobbyPortis,1,0.023296290613704307
55,KirkHinrich,1,0.009531526134813251
56,PauGasol,0,0.07975183771394008
57,TonySnell,1,0.021467180523528005
58,JimmyButler,4,0.04341691417708427
59,TajGibson,4,0.03324367594881493
60,CameronBairstow,1,0.007188278759404278
61,NikolaMirotic,3,0.03630291048892383
62,E'TwaunMoore,1,0.017794706074749082
63,DerrickRose,4,0.035349370149553125
64,JoakimNoah,3,0.01969156390494611
65,KevinSeraphin,1,0.024845468289338583
66,LangstonGalloway,3,0.02139870263536512
67,JoseCalderon,2,0.04105587289524819
68,ArronAfflalo,2,0.049032046382071086
69,KristapsPorzingis,0,0.03655894716403708
70,CarmeloAnthony,5,0.07874994350548949
71,RobinLopez,0,0.07333293686502117
72,KyleO'Quinn,1,0.021124156761431694
73,JerianGrant,3,0.023583464348216936
74,SashaVujacic,1,0.007148982860906678
75,DerrickWilliams,3,0.02869311154217972
76,LanceThomas,3,0.03264908176593708
77,DrewGooden,1,0.009983929455074265
78,KrisHumphries,1,0.037983202797590744
79,MarcinGortat,0,0.0475855466484698
80,JaredDudley,2,0.03629979607158864
81,RamonSessions,4,0.031283833110783574
82,DeJuanBlair,1,0.009938098644237711
83,GarrettTemple,3,0.022268692371061553
84,JohnWall,5,0.0700301316374018
85,GaryNeal,1,0.009938098644237711
86,OttoPorter,2,0.02662109928694545
87,JarellEddie,1,0.00921281783041688
88,KellyOubre,1,0.017651611504902038
89,ChanningFrye,1,0.029800293392597394
90,JasonSmith,1,0.04068090599004461
91,NikolaVucevic,6,0.07240934614456011
92,TobiasHarris,4,0.039504228939217116
93,AndrewNicholson,3,0.037910719193393644
94,EvanFournier,2,0.03453437505067024
95,DewayneDedmon,1,0.019060614699085387
96,VictorOladipo,2,0.04579516079981702
97,ShabazzNapier,1,0.026944858823436012
98,ElfridPayton,4,0.0230838798439837
99,AaronGordon,3,0.01401360882165526
100,MarioHezonja,1,0.015624450275100807
101,MettaWorld Peace,1,0.010116515171903505
102,BrandonBass,3,0.021080404472588608
103,LouWilliams,2,0.03375220774816347
104,NickYoung,1,0.02756918346213476
105,RoyHibbert,3,0.019023930048141756
106,RobertSacre,1,0.007482333843397296
107,RyanKelly,1,0.011165281820821195
108,JordanClarkson,0,0.03355975828272393
109,JuliusRandle,4,0.02021349166146799
110,AnthonyBrown,1,0.008517454988070572
111,D'AngeloRussell,2,0.03288194812485629
112,LarryNance Jr.,3,0.029353219427961735
113,MarceloHuertas,1,0.01022771306552546
114,CarlLandry,1,0.016890132753808115
115,IshSmith,0,0.02277017787172897
116,KendallMarshall,1,0.0063876188069751415
117,HollisThompson,2,0.037040352731600806
118,NerlensNoel,4,0.021885690757977843
119,IsaiahCanaan,2,0.036528180791543706
120,RobertCovington,2,0.032705206312637784
121,NikStauskas,1,0.025676722145046973
122,JeramiGrant,3,0.03128545842455728
123,JaKarrSampson,3,0.013580683434629082
124,TJMcConnell,1,0.03151102479814876
125,JahlilOkafor,6,0.027556738902367938
126,RichaunHolmes,3,0.021026326246577874
127,AveryBradley,2,0.0445416575420291
128,IsaiahThomas,5,0.05650487872908717
