id,name,group,Dis2Center
0,0,1,0.008633495827759224
1,JamesJohnson,2,0.012360232530112062
2,LuisScola,4,0.03872002566504124
3,DeMarreCarroll,7,0.026354412133424023
4,CoryJoseph,2,0.024896967424442848
5,KyleLowry,5,0.060531595829868466
6,BismackBiyombo,2,0.014302303422102968
7,DeMarDeRozan,6,0.07277958355083253
8,JonasValanciunas,2,0.020126629902995224
9,BrunoCaboclo,1,0.008633495827759224
10,TerrenceRoss,7,0.032700129555832014
11,PatrickPatterson,7,0.03170472458093782
12,DelonWright,1,0.007060552465798765
13,LucasNogueira,1,0.009341184911320285
14,MarvinWilliams,7,0.020594262472532873
15,JeremyLamb,7,0.028115413413544066
16,NicolasBatum,7,0.04038722828339643
17,JeremyLin,0,0.031389404501097104
18,AaronHarrison,1,0.008449109923253813
19,KembaWalker,5,0.04327289740167667
20,PJHairston,7,0.01647996389820893
21,BrianRoberts,1,0.010571647924143383
22,TroyDaniels,1,0.011480440547152882
23,CodyZeller,4,0.02870045000169501
24,FrankKaminsky,7,0.03220199477416194
25,TylerHansbrough,1,0.008229903793435564
26,SpencerHawes,1,0.021134735020451004
27,ChrisBosh,4,0.06808804593784887
28,DwyaneWade,4,0.04600717827933049
29,Amar'eStoudemire,1,0.013725238641278807
30,GoranDragic,4,0.03489060571675574
31,TylerJohnson,2,0.016853158698321602
32,LuolDeng,2,0.0353034809607276
33,ChrisAndersen,1,0.008136521053065539
34,GeraldGreen,0,0.03245456646685075
35,BenoUdrih,1,0.008633495827759224
36,JustiseWinslow,2,0.018089702131785006
37,HassanWhiteside,3,0.027864118095444493
38,UdonisHaslem,1,0.008729363316401494
39,RaymondFelton,0,0.0320261181411485
40,CharlieVillanueva,7,0.02332200426109717
41,Jose JuanBarea,7,0.036914701171022184
42,DwightPowell,4,0.024699479139063247
43,DeronWilliams,0,0.04556172918368177
44,JaValeMcGee,2,0.012967863054019398
45,JohnJenkins,1,0.007038776374995708
46,JeremyEvans,1,0.004935143187162348
47,WesleyMatthews,7,0.05013422407687667
48,ChandlerParsons,4,0.028438835115861927
49,ZazaPachulia,4,0.021707859992674553
50,DevinHarris,2,0.023879701025784086
51,DirkNowitzki,0,0.07501790684016225
52,AaronBrooks,2,0.02584882246624148
53,DougMcDermott,7,0.018616121058229025
54,BobbyPortis,1,0.023794064501819357
55,KirkHinrich,1,0.010526938112558936
56,PauGasol,6,0.07146443535146317
57,TonySnell,1,0.02260147404830698
58,JimmyButler,3,0.04926519376273417
59,TajGibson,4,0.0251220236488811
60,CameronBairstow,1,0.006037985289420077
61,NikolaMirotic,7,0.030334670908584698
62,E'TwaunMoore,1,0.01834572988180563
63,DerrickRose,4,0.035784711420738705
64,JoakimNoah,2,0.017805659280239437
65,KevinSeraphin,1,0.02522313686618402
66,LangstonGalloway,2,0.020343801106914673
67,JoseCalderon,7,0.041857674800911494
68,ArronAfflalo,0,0.04289855833700792
69,KristapsPorzingis,0,0.03634922281017477
70,CarmeloAnthony,0,0.08670646153513492
71,RobinLopez,6,0.07427865031027231
72,KyleO'Quinn,1,0.021678913205146002
73,JerianGrant,2,0.02146058692579688
74,SashaVujacic,1,0.005993188204684999
75,DerrickWilliams,2,0.03097347581442854
76,LanceThomas,2,0.030459137312300003
77,DrewGooden,1,0.009648133756723304
78,KrisHumphries,7,0.035056782393436944
79,MarcinGortat,4,0.05171822502083416
80,JaredDudley,7,0.03556621325026323
81,RamonSessions,4,0.02212002874372633
82,DeJuanBlair,1,0.008633495827759224
