type,component,rank,mean,var,mean_all,var_group
transitionFreq,6,1,18.6,10.266666666666667,10.923469387755102,22.814423261141197
ball-handlerFreq,6,3,15.875,25.34916666666666,10.6265306122449,63.89582887338611
spot-upFreq,6,1,25.55,43.79666666666665,18.437755102040818,66.4221040191587
playtype-miscFreq,6,6,4.925000000000001,0.909166666666667,5.342857142857143,1.9372563775510208
