type,component,rank,mean,var,mean_all,var_group
transitionFreq,8,4,6.425,20.429166666666664,10.923469387755102,22.814423261141197
ball-handlerFreq,5,1,0.375,0.5625,10.6265306122449,63.89582887338611
ball-handlerFreq,4,4,5.925000000000001,26.00916666666667,10.6265306122449,63.89582887338611
roll-manFreq,9,1,0.0,0.0,7.512244897959184,19.198596366097465
roll-manFreq,10,2,0.0,0.0,7.512244897959184,19.198596366097465
playtype-post-upFreq,9,1,0.2,0.16,7.990816326530613,25.818808829654312
playtype-post-upFreq,10,2,0.25,0.25,7.990816326530613,25.818808829654312
playtype-post-upFreq,6,3,2.1,17.640000000000004,7.990816326530613,25.818808829654312
spot-upFreq,1,1,3.175,40.3225,18.437755102040818,66.4221040191587
spot-upFreq,7,3,10.925,60.59583333333333,18.437755102040818,66.4221040191587
hand-offFreq,5,1,0.225,0.2025,3.5989795918367347,6.662777826947105
cutFreq,10,1,0.825,0.9091666666666668,7.059183673469389,10.70722337047064
cutFreq,9,2,1.975,5.2025,7.059183673469389,10.70722337047064
cutFreq,2,3,3.3,8.386666666666665,7.059183673469389,10.70722337047064
off-screenFreq,5,1,0.8,2.5600000000000005,4.834693877551021,12.57721131820075
off-screenFreq,3,2,1.1,4.840000000000001,4.834693877551021,12.57721131820075
off-screenFreq,9,4,3.3,8.226666666666667,4.834693877551021,12.57721131820075
putbacksFreq,10,1,0.0,0.0,4.741836734693877,6.718902098084129
putbacksFreq,1,2,0.475,0.9025,4.741836734693877,6.718902098084129
putbacksFreq,2,3,1.475,3.6358333333333337,4.741836734693877,6.718902098084129
putbacksFreq,9,4,1.775,2.2625,4.741836734693877,6.718902098084129
playtype-miscFreq,6,5,4.925000000000001,0.909166666666667,5.342857142857143,1.9372563775510208
