,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
1,61.41366666666666,113.90566666666669,217.6906666666667,96.28966666666666,68.50666666666666,194.60966666666673,15.110666666666665,54.37466666666667,14.415000000000001,3.271000000000001,43.623999999999995
2,6.658666666666669,61.507000000000005,79.31766666666667,99.09099999999998,385.0376666666667,143.95866666666666,37.766666666666666,10.066666666666666,36.858666666666664,10.548000000000002,5.858666666666666
3,4.4416666666666655,35.766666666666666,124.56700000000001,133.7026666666667,32.696000000000005,215.63366666666667,15.041666666666668,86.21466666666666,4.518666666666666,51.43366666666666,13.795000000000002
4,41.40400000000001,31.918666666666674,229.6106666666667,21.757666666666665,272.29466666666667,253.59466666666668,25.87366666666667,72.84966666666666,98.96566666666666,43.20266666666667,23.124
5,9.732000000000001,38.31600000000001,0.375,82.831,123.79100000000003,52.69766666666667,0.13500000000000004,108.82266666666665,1.8626666666666671,68.33466666666666,26.163999999999998
6,22.701666666666664,16.183999999999997,141.41366666666664,42.422999999999995,20.967000000000002,85.89866666666664,43.13199999999999,44.33066666666668,46.592000000000006,22.575,3.364
7,30.870666666666672,132.26700000000002,182.77066666666667,109.37199999999999,129.14566666666664,86.73066666666666,7.4896666666666665,19.44666666666667,36.88166666666666,23.793666666666663,13.035999999999998
8,9.42966666666667,13.713666666666665,85.88166666666666,117.93066666666667,175.60166666666663,111.15066666666667,23.566666666666666,49.82166666666667,37.40266666666666,40.846999999999994,9.154666666666666
9,23.824,85.46000000000001,146.655,81.40166666666667,267.3026666666667,144.88566666666662,20.599,11.049666666666663,26.345666666666666,2.389666666666667,6.126666666666667
10,39.383,51.64966666666667,406.712,0.135,2.201666666666667,60.08166666666666,22.663000000000004,10.639000000000001,144.32966666666667,0.24,7.742666666666667
bt_var,2.3500753505483822,11.897693102411033,56.65446917950853,14.986326241380908,22.193117219676985,31.697123293535117,3.774364986811052,11.95232583645703,6.061233710491001,7.353867092415197,0.9979597505668932
