Unnamed: 0,Player,ID,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
83,Mirza Teletovic,203141,2.9,13.7,1.3,8.9,13.5,32.5,4.7,2,12.1,4,4.4
28,Dirk Nowitzki,1717,4.6,4.6,,18.6,29.6,22.2,0.8,3.2,8.6,2.7,4.6
147,Eric Gordon,201569,6.9,16.2,26.4,,,27.6,6.6,1.5,11.1,,2.8
11,Kemba Walker,202689,7.7,13.8,46.7,,,14,6,2,3.3,1.3,5.3
48,Draymond Green,203110,5,18.5,5,12.6,8.7,19.7,1.3,9.7,2.3,7.1,10.1
,,,9.53 ,15.04 ,20.89 ,4.70 ,7.15 ,17.33 ,4.76 ,3.32 ,9.12 ,2.26 ,5.68 
4,Damian Lillard,203081,17.2,10.5,43,,,8,6.6,3.1,5.6,0.9,4.9
6,Paul George,202331,14,16.2,21.2,1.1,3.4,11.2,5.3,3.7,16,2,5.9
13,CJ McCollum,203468,11.4,13.1,37.4,,,14.8,7.8,2.2,8,1.2,3.7
124,Ersan Ilyasova,101141,,14.5,,13.4,4.4,33.9,1.6,6.7,6.4,12.9,4.9
44,Avery Bradley,202340,3.9,20,13.5,,,20.3,17.2,4.6,14.6,1.9,3.9
34,Kevin Love,201567,3.3,9,,15.3,24.6,26.3,1.5,4.3,4.6,5.6,5.2
190,Jose Calderon,101181,2.2,10.2,38.1,,,23,7.7,2.9,7.7,,7.5
24,Khris Middleton,203114,11.1,13.6,18,1.7,8.1,16.4,10.3,2.1,11.8,1.3,5.5
1,Stephen Curry,201939,10,20.1,26.2,0.7,,9.1,4.7,6,14.2,1.6,7.3
37,Evan Fournier,203095,5.1,16,21.8,,,24.8,8.6,4.5,12.6,1.5,4.4
,,,7.82 ,14.32 ,21.92 ,3.22 ,4.05 ,18.78 ,7.13 ,4.01 ,10.15 ,2.89 ,5.32 
41,Nikola Vucevic,202696,7.2,5.1,0.9,18.4,28.3,13.4,0.9,9.6,1.5,9.5,5.2
2,Kevin Durant,201142,14.9,15.1,19,5.5,8.1,11,2.2,4,14.1,1.3,4.8
16,Carmelo Anthony,2546,23.7,8.1,13.1,1.7,22.2,11.5,2.6,3.1,4,4.2,5.7
23,Chris Paul,101108,15.2,12.9,51.9,,1.4,6.2,3.3,,0.9,1,6.5
28,Dirk Nowitzki,1717,4.6,4.6,,18.6,29.6,22.2,0.8,3.2,8.6,2.7,4.6
5,Russell Westbrook,201566,12.5,23.3,35.4,,9.3,6.9,2.3,1.9,1,3,4.4
