,Player,ID,isolationPoss,isolationFreq,transitionPoss,transitionFreq,ball-handlerPoss,ball-handlerFreq,roll-manPoss,roll-manFreq,playtype-post-upPoss,playtype-post-upFreq,spot-upPoss,spot-upFreq,hand-offPoss,hand-offFreq,cutPoss,cutFreq,off-screenPoss,off-screenFreq,putbacksPoss,putbacksFreq,playtype-miscPoss,playtype-miscFreq
93,Luol Deng,2736,0.5,4.3,1.9,15.5,0.4,2.9,0.9,7.0,0.8,6.7,4.4,35.5,0.2,1.9,1.2,9.5,0.6,4.5,0.9,6.9,0.7,5.4
94,Arron Afflalo,201167,1.2,8.8,1.7,13.2,1.1,8.0,,,2.2,16.9,3.1,23.4,0.9,7.0,0.4,3.3,2.0,14.9,,,0.4,3.2
95,George Hill,201588,0.6,4.8,2.5,20.6,3.5,28.7,,,0.1,1.2,2.4,19.8,0.5,4.1,0.4,3.4,1.1,9.2,0.3,2.4,0.7,5.4
96,Bojan Bogdanovic,202711,0.9,7.8,2.2,18.7,1.4,12.3,,,0.8,7.2,3.6,31.0,0.3,2.4,0.6,4.9,1.1,9.8,0.2,1.8,0.4,3.7
97,Dennis Schroder,203471,0.9,6.9,1.3,9.6,7.1,54.4,,,,,1.6,12.3,0.8,6.1,0.2,1.5,0.6,4.5,,,0.6,4.4
98,Emmanuel Mudiay,1626144,1.2,6.7,2.7,15.3,7.7,43.0,,,0.5,2.8,2.7,15.0,0.9,4.8,0.5,2.9,0.6,3.5,0.3,1.4,0.9,4.8
99,Kent Bazemore,203145,0.6,4.8,2.9,23.4,1.9,15.1,,,,,3.7,30.1,0.8,6.8,1.1,8.9,0.6,4.6,0.2,1.5,0.6,4.6
100,Otto Porter Jr.,203490,0.2,1.5,2.8,24.6,1.1,9.9,0.3,2.6,0.1,1.3,3.2,28.9,0.3,2.5,1.1,9.4,0.8,7.3,0.8,7.1,0.5,4.8
101,Shabazz Muhammad,203498,0.5,5.2,2.1,20.2,0.7,6.9,,,1.0,9.9,2.2,20.7,0.4,4.2,1.0,9.1,1.1,10.5,1.0,9.4,0.4,3.8
102,Marc Gasol,201188,1.0,5.6,0.3,1.9,,,4.0,22.1,7.2,40.2,1.9,10.5,,,1.5,8.2,0.3,1.4,0.6,3.2,1.2,6.7
103,Rajon Rondo,200765,1.2,7.4,3.1,19.8,6.2,39.3,,,,,2.4,15.4,0.4,2.4,0.6,3.8,,,0.4,2.5,1.4,8.9
104,Robert Covington,203496,0.6,4.1,2.8,20.0,0.6,4.5,0.8,5.5,,,5.1,37.2,1.1,8.1,0.5,3.5,0.7,4.9,0.5,3.9,1.1,8.0
105,Mike Conley,201144,1.0,6.4,1.8,11.4,6.8,43.3,,,,,1.9,12.5,1.5,9.4,0.4,2.6,1.3,8.0,0.2,1.4,0.8,4.8
106,Tony Parker,2225,0.7,5.5,1.6,12.5,6.5,51.0,,,,,1.5,12.0,0.6,4.8,0.3,2.7,0.9,7.0,,,0.5,4.1
107,Evan Turner,202323,1.3,10.5,1.9,15.0,3.9,31.5,,,1.3,10.5,1.7,13.8,0.7,5.7,0.5,4.3,0.3,2.2,0.3,2.3,0.5,4.1
108,Isaiah Canaan,203477,1.3,11.1,2.1,18.4,2.3,20.3,,,,,3.2,27.9,1.0,8.9,0.3,2.3,0.6,5.6,,,0.5,4.1
109,Robin Lopez,201577,0.2,1.5,0.3,2.5,,,1.4,13.0,3.1,29.2,0.4,3.8,,,2.0,18.6,,,2.4,22.5,0.9,8.6
110,Al-Farouq Aminu,202329,0.4,3.8,2.0,17.9,0.9,8.5,0.4,4.0,0.2,2.1,4.1,37.4,0.7,6.0,0.6,5.1,0.5,5.0,0.6,5.8,0.5,4.4
111,Chandler Parsons,202718,1.0,7.7,2.0,15.5,2.5,18.6,0.2,1.2,0.4,3.1,3.7,28.2,0.7,5.0,0.7,5.6,1.2,9.1,0.2,1.6,0.6,4.5
112,Kenneth Faried,202702,0.3,2.2,1.6,13.3,,,2.0,16.2,1.4,11.5,0.6,5.2,,,2.5,20.8,,,2.6,21.3,1.1,9.1
113,Jared Sullinger,203096,0.7,5.8,0.8,6.9,,,2.0,16.8,2.0,16.3,2.5,20.9,,,1.1,8.9,0.6,4.8,1.5,12.5,0.8,6.5
114,Allen Crabbe,203459,,,1.7,17.9,0.9,9.2,0.3,3.2,,,3.1,32.5,1.0,10.8,0.4,4.3,1.6,16.3,0.1,1.3,0.3,3.3
115,Gorgui Dieng,203476,0.4,3.7,0.7,7.2,,,2.3,22.3,1.6,15.7,1.4,14.2,,,1.7,16.9,,,0.9,8.8,1.1,10.7
116,Omri Casspi,201956,0.3,2.7,2.7,23.5,0.5,4.4,0.3,2.8,0.1,1.3,4.4,38.2,0.5,4.6,1.1,9.2,0.5,4.7,0.5,4.6,0.5,4.2
117,Ramon Sessions,201196,0.4,3.6,2.6,25.9,3.5,35.1,,,,,1.8,17.7,0.4,3.5,0.5,5.2,0.3,3.0,,,0.5,5.1
118,J.J. Barea,200826,1.0,8.9,1.0,8.6,6.1,52.8,,,,,2.0,17.2,0.6,5.1,0.1,1.2,0.2,1.7,,,0.4,3.7
119,Nikola Jokic,203999,0.4,3.5,0.6,5.9,,,1.9,19.5,2.0,19.8,1.1,10.7,,,1.5,15.4,,,1.4,13.7,1.0,9.9
