,0,1,2
NikolaPekovic,8.546237541036815e-12,3.52991640901204e-72,0.11078794205779734
SeanKilpatrick,8.546237541036815e-12,3.52991640901204e-72,0.11078794205779734
MirzaTeletovic,5.117442080505671e-17,0.007384842127844666,0.07546372612117648
PatrickPatterson,0.04788587376814652,2.1750927273804128e-79,0.05619949054015521
JonLeuer,5.230775815263325e-07,1.1816191078240883e-21,0.05541228545944966
