,0,1,2
MasonPlumlee,0.0,0.08368996749560946,0.0
DamienInglis,0.0,0.08368996749560946,0.0
KentaviousCaldwell-Pope,0.0,0.06757402729202816,0.0
PaulMillsap,6.787638563751554e-138,0.049860744999497005,2.529793539302584e-112
JarnellStokes,4.818933660985897e-176,0.04708978326494216,8.798815580453861e-95
