id,name,group,Dis2Center
0,0,1,0.008593653277112371
1,JamesJohnson,3,0.015848521209104013
2,LuisScola,3,0.03987210182662341
3,DeMarreCarroll,5,0.028463481701444537
4,CoryJoseph,3,0.025385147073236906
5,KyleLowry,2,0.06645838380219767
6,BismackBiyombo,3,0.015291185337543839
7,DeMarDeRozan,6,0.0596610736292428
8,JonasValanciunas,3,0.016458000670031253
9,BrunoCaboclo,1,0.008593653277112371
10,TerrenceRoss,5,0.028976740932906656
11,PatrickPatterson,5,0.030848046441467495
12,DelonWright,1,0.0069738833042167344
13,LucasNogueira,1,0.008842298629967308
14,MarvinWilliams,5,0.019474697473066353
15,JeremyLamb,5,0.027310127520960174
16,NicolasBatum,5,0.04129674238843851
17,JeremyLin,4,0.031191187500554135
18,AaronHarrison,1,0.008428912761415754
19,KembaWalker,2,0.04463633784151476
20,PJHairston,5,0.015563091185397154
21,BrianRoberts,1,0.010861114568618152
22,TroyDaniels,1,0.012427016965915978
23,CodyZeller,3,0.028160157731878074
24,FrankKaminsky,5,0.03347320224672371
25,TylerHansbrough,1,0.007893253472834693
26,SpencerHawes,1,0.021127002820434934
27,ChrisBosh,0,0.06842453852929505
28,DwyaneWade,6,0.03576082523496956
29,Amar'eStoudemire,1,0.013408821570499413
30,GoranDragic,3,0.03337418714634908
31,TylerJohnson,3,0.016983466213480906
32,LuolDeng,3,0.03354523400852241
33,ChrisAndersen,1,0.008148356309595869
34,GeraldGreen,4,0.03207287123000831
35,BenoUdrih,1,0.008593653277112371
36,JustiseWinslow,3,0.017508388752696457
37,HassanWhiteside,0,0.025547857544722035
38,UdonisHaslem,1,0.00885955560651185
39,RaymondFelton,4,0.030401641278937738
40,CharlieVillanueva,5,0.02359844383050093
41,Jose JuanBarea,5,0.03689949613887677
42,DwightPowell,3,0.027025711857036765
43,DeronWilliams,4,0.04325328379680078
44,JaValeMcGee,3,0.014486036427853111
45,JohnJenkins,1,0.006786168004191519
46,JeremyEvans,1,0.004600209159044987
47,WesleyMatthews,5,0.05005612211866658
48,ChandlerParsons,3,0.039881799436885274
49,ZazaPachulia,0,0.023202873464746452
50,DevinHarris,3,0.025216341435867345
51,DirkNowitzki,4,0.07432757915686065
52,AaronBrooks,5,0.022291547949419458
53,DougMcDermott,5,0.014106168858466925
54,BobbyPortis,1,0.023576274710629938
55,KirkHinrich,1,0.010627130889425929
56,PauGasol,6,0.06206901681011048
57,TonySnell,5,0.02028542202688969
58,JimmyButler,0,0.046277098646770744
59,TajGibson,0,0.03501182535518823
60,CameronBairstow,1,0.005890251452433739
