id,name,group,Dis2Center
0,0,0,0.008416180767574815
1,JamesJohnson,3,0.015100663269308768
2,LuisScola,3,0.04053241743239692
3,DeMarreCarroll,4,0.028971549258916422
4,CoryJoseph,3,0.024575343990996132
5,KyleLowry,5,0.07277666655025636
6,BismackBiyombo,3,0.014883560618423736
7,DeMarDeRozan,5,0.07159878012196676
8,JonasValanciunas,3,0.017556128973702068
9,BrunoCaboclo,0,0.008416180767574815
10,TerrenceRoss,4,0.027141600401185628
11,PatrickPatterson,4,0.030686617253373016
12,DelonWright,0,0.006795436225490459
13,LucasNogueira,0,0.008968537199075583
14,MarvinWilliams,4,0.02087998018302632
15,JeremyLamb,4,0.02658761488329382
16,NicolasBatum,4,0.041209621017995156
17,JeremyLin,5,0.0284198439159725
18,AaronHarrison,0,0.0082465601286539
19,KembaWalker,5,0.0613722400722539
20,PJHairston,4,0.017475519244814015
21,BrianRoberts,0,0.010808055144922848
22,TroyDaniels,0,0.012278582371636676
23,CodyZeller,3,0.0290943461167967
24,FrankKaminsky,4,0.03564515519190433
25,TylerHansbrough,0,0.007939125182882104
26,SpencerHawes,0,0.021184897105196866
27,ChrisBosh,2,0.0675316574747385
28,DwyaneWade,2,0.04333259551147579
29,Amar'eStoudemire,0,0.013527160395667185
30,GoranDragic,3,0.03381836951089355
31,TylerJohnson,3,0.016561141781120305
32,LuolDeng,3,0.034397228961321115
33,ChrisAndersen,0,0.007967351851108953
34,GeraldGreen,4,0.03265420919270434
35,BenoUdrih,0,0.008416180767574815
36,JustiseWinslow,3,0.01751738653233412
37,HassanWhiteside,2,0.03000072226620885
38,UdonisHaslem,0,0.008703779317818813
39,RaymondFelton,5,0.03132332634650164
40,CharlieVillanueva,4,0.024140029763648138
41,Jose JuanBarea,4,0.036042745084024344
42,DwightPowell,3,0.02779322071428947
43,DeronWilliams,5,0.04315450618428368
44,JaValeMcGee,3,0.013906187035617365
45,JohnJenkins,0,0.006764154816418626
46,JeremyEvans,0,0.004624242828940834
47,WesleyMatthews,4,0.04990558474459447
48,ChandlerParsons,2,0.039260755710046315
49,ZazaPachulia,2,0.020243662412690818
50,DevinHarris,3,0.02423616658706539
51,DirkNowitzki,5,0.07285327869987503
52,AaronBrooks,4,0.023125659117332917
53,DougMcDermott,4,0.013586751882998857
54,BobbyPortis,0,0.023656548373220055
55,KirkHinrich,0,0.01061638886021028
56,PauGasol,5,0.08006847195149625
57,TonySnell,4,0.020446346120608107
58,JimmyButler,2,0.04629464178720587
59,TajGibson,2,0.03134549686133549
60,CameronBairstow,0,0.005738207456633467
61,NikolaMirotic,4,0.03467378928080622
62,E'TwaunMoore,0,0.01838398084562897
63,DerrickRose,2,0.03291838470511269
64,JoakimNoah,3,0.020447684733324867
65,KevinSeraphin,0,0.025445042563478737
66,LangstonGalloway,4,0.020748059240133208
67,JoseCalderon,4,0.04024853423848392
68,ArronAfflalo,5,0.04789243366371758
69,KristapsPorzingis,5,0.028886356262464417
