type,component,rank,mean,var,mean_all,var_group
ball-handlerFreq,5,1,0.3,0.45,10.6265306122449,50.14698632236568
ball-handlerFreq,4,3,4.74,26.528,10.6265306122449,50.14698632236568
roll-manFreq,9,1,0.0,0.0,7.512244897959184,18.043749121199504
roll-manFreq,10,2,0.18,0.162,7.512244897959184,18.043749121199504
playtype-post-upFreq,9,1,0.16,0.128,7.990816326530613,30.436910462307367
playtype-post-upFreq,10,2,0.94,2.5680000000000005,7.990816326530613,30.436910462307367
playtype-post-upFreq,6,3,1.6800000000000002,14.112000000000002,7.990816326530613,30.436910462307367
playtype-post-upFreq,3,4,4.0600000000000005,20.698000000000004,7.990816326530613,30.436910462307367
hand-offFreq,5,1,0.18,0.162,3.5989795918367347,4.526469612661391
cutFreq,9,1,1.58,4.682,7.059183673469389,10.593001482715538
off-screenFreq,5,1,0.64,2.0480000000000005,4.834693877551021,9.432054277384424
off-screenFreq,3,3,1.64,5.088,4.834693877551021,9.432054277384424
putbacksFreq,10,1,0.24,0.288,4.741836734693877,6.695301332778008
putbacksFreq,1,2,0.38,0.7219999999999999,4.741836734693877,6.695301332778008
putbacksFreq,9,3,1.42,2.327,4.741836734693877,6.695301332778008
