type,component,rank,mean,var,mean_all,var_group
ball-handlerFreq,5,1,0.2142857142857142,0.3214285714285714,10.6265306122449,57.85402457309455
roll-manFreq,10,1,0.1285714285714286,0.1157142857142857,7.512244897959184,16.126354019158686
playtype-post-upFreq,10,1,0.6714285714285715,1.922380952380953,7.990816326530613,20.03000270720533
playtype-post-upFreq,6,2,3.0571428571428574,17.552857142857146,7.990816326530613,20.03000270720533
hand-offFreq,5,1,0.1285714285714286,0.1157142857142857,3.5989795918367347,3.6882634319033736
cutFreq,10,1,2.2142857142857144,9.354761904761906,7.059183673469389,11.494514369012911
cutFreq,9,2,2.3000000000000003,10.236666666666665,7.059183673469389,11.494514369012911
cutFreq,2,4,4.114285714285715,8.834761904761905,7.059183673469389,11.494514369012911
off-screenFreq,3,1,1.1714285714285713,4.032380952380953,4.834693877551021,7.977985006247397
putbacksFreq,10,1,0.6714285714285715,1.7557142857142856,4.741836734693877,6.221330487296958
putbacksFreq,1,2,0.9000000000000001,2.883333333333334,4.741836734693877,6.221330487296958
putbacksFreq,9,3,1.4714285714285715,2.4123809523809525,4.741836734693877,6.221330487296958
