,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
1,84.25777777777776,105.72694444444446,182.10027777777776,63.581944444444446,45.79999999999999,173.9502777777778,10.847777777777779,45.55527777777778,10.444444444444445,18.0725,30.821944444444444
2,7.899444444444445,45.43611111111112,62.780277777777776,81.97111111111111,270.7036111111112,266.8944444444444,38.661944444444444,137.10277777777776,107.92249999999999,25.94527777777778,5.261944444444443
3,20.580000000000002,40.821111111111115,134.2925,112.8552777777778,59.56194444444444,151.11249999999998,13.268611111111113,63.60277777777778,23.19444444444444,36.287499999999994,9.796111111111113
4,31.549444444444447,25.34027777777778,171.77361111111114,130.0427777777778,180.2552777777778,247.60999999999999,21.891111111111115,68.39194444444443,71.99527777777777,50.34694444444444,17.50944444444444
5,13.7725,42.987500000000004,44.746111111111105,71.06777777777778,149.2602777777778,330.1575,7.001111111111111,91.51194444444445,7.514444444444443,60.49694444444444,20.097499999999997
6,17.364444444444445,29.745000000000005,136.7111111111111,44.268611111111106,52.73027777777778,164.95361111111112,33.155277777777776,91.20027777777779,102.54361111111112,31.080277777777777,4.216944444444444
7,21.184444444444445,95.7527777777778,288.8861111111112,109.50277777777778,218.33444444444444,85.68777777777777,14.145277777777778,17.75777777777778,26.07361111111111,17.31111111111111,8.65611111111111
8,15.171111111111113,13.542499999999999,56.657777777777774,99.91027777777776,182.57694444444442,88.445,15.76361111111111,39.45194444444444,25.265,30.616111111111103,10.219444444444443
9,24.29527777777778,56.12777777777779,126.02361111111111,71.73111111111112,176.27861111111116,139.785,30.195,42.99249999999999,46.47527777777778,29.59194444444444,12.568611111111112
10,31.284444444444446,51.449444444444445,413.01194444444445,12.780000000000003,1.5294444444444448,281.9852777777778,22.23527777777778,7.729444444444445,97.68611111111112,1.4044444444444444,8.825277777777778
bt_var,1.568569240697035,6.567892711884456,33.84925564965215,15.544276165795115,19.378178066237833,11.325156866223434,2.730481766856402,7.358032563592329,5.794493662619999,5.462517256184411,0.9475880574452006
