type,component,rank,mean,var,mean_all,var_group
ball-handlerFreq,5,1,0.1875,0.28125,10.6265306122449,42.087378299406495
roll-manFreq,10,1,1.4625,14.334107142857146,7.512244897959184,15.538676404362766
playtype-post-upFreq,10,1,0.5875,1.7041071428571433,7.990816326530613,18.63932860006248
playtype-post-upFreq,6,2,2.6750000000000003,16.21357142857143,7.990816326530613,18.63932860006248
hand-offFreq,5,1,0.1125,0.10125,3.5989795918367347,3.649031015722616
cutFreq,10,1,2.3375000000000004,8.139821428571429,7.059183673469389,9.38094212047064
cutFreq,2,3,4.0375,7.619821428571428,7.059183673469389,9.38094212047064
putbacksFreq,10,1,0.5875,1.5612499999999998,4.741836734693877,6.261300376145355
putbacksFreq,1,2,0.9375,2.482678571428572,4.741836734693877,6.261300376145355
