Type,Player,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
8,Noah Vonleh,2.9,7.7,,18.3,7.2,24.9,,11.7,,16.0,8.9
8,Mitch McGary,,,,,,,,,,,
8,Kevin Love,3.3,9.0,,15.3,24.6,26.3,1.5,4.3,4.6,5.6,5.2
8,Greg Monroe,5.2,5.4,,10.8,33.8,6.2,,17.6,1.1,14.1,4.7
8,DeMarcus Cousins,11.1,12.6,1.2,14.8,19.4,16.4,2.5,5.2,2.5,7.0,7.2
8,Drew Gooden,,9.1,,26.4,,26.4,,,,14.0,
8,LaMarcus Aldridge,1.2,4.8,,20.2,33.7,15.6,,9.0,2.7,9.8,2.4
9,Lou Amundson,,,,,,,,,,,
9,Dion Waiters,15.2,19.1,25.4,,,24.4,3.6,,7.0,1.1,2.5
9,Tony Snell,7.1,16.7,17.0,,,33.5,9.9,3.9,3.0,2.7,5.7
9,Will Barton,7.4,22.3,24.0,,0.8,22.6,7.0,4.0,3.2,3.3,5.4
9,Gary Neal,6.1,13.8,24.5,,,25.3,9.8,,14.1,,3.5
9,Marc Gasol,5.6,1.9,,22.1,40.2,10.5,,8.2,1.4,3.2,6.7
9,Sasha Vujacic,,14.8,10.7,,,34.9,11.8,,16.3,,6.2
9,Amir Johnson,3.1,10.8,,15.6,10.9,9.4,,19.3,,17.4,12.7
9,Doug McDermott,,16.3,3.6,,2.9,28.1,14.0,10.2,15.7,4.0,3.3
9,Anthony Tolliver,,14.2,,10.8,,55.1,,3.2,8.2,,4.2
10,Jeff Teague,13.9,17.4,40.6,,1.0,10.3,5.5,1.6,3.3,,5.8
10,Jarnell Stokes,,,,,,,,,,,
10,Matthew Dellavedova,3.4,9.0,46.7,,,23.2,6.0,1.7,2.0,,6.2
10,Ray McCallum,,17.0,33.0,,,13.8,12.8,,10.6,,
10,Klay Thompson,5.0,17.5,7.1,0.9,3.7,17.0,3.6,8.4,31.0,1.2,4.5
10,Tim Frazier,13.4,17.2,44.8,,,10.8,,,,,4.3
10,Tyler Johnson,5.0,11.4,27.8,,,26.8,9.5,3.8,4.4,3.5,7.9
10,Anthony Tolliver,,14.2,,10.8,,55.1,,3.2,8.2,,4.2
10,DeJuan Blair,,,,,,,,,,,
10,Darrun Hilliard,,13.2,29.9,,,27.5,6.0,9.0,,,
