,0,1,2,3,4
DanteCunningham,0.021370896842924637,5.706991722304146e-20,1.4603187535843015e-108,0.07518408922428547,4.251169812719885e-219
TerrenceRoss,0.06457622664353528,9.548843224343574e-53,1.3839171931496876e-300,0.07089876733222159,1.671984299994177e-185
ArronAfflalo,0.03663511163619518,6.189353889812333e-21,0.02047819545850112,0.057362931681417206,6.2413052555926705e-176
DwightHoward,0.024300251381673455,0.008801245916705835,0.006296597603323126,0.049616571071393056,7.558037010688589e-80
ZachRandolph,1.9972866448925399e-07,0.010963561250948993,0.04329747602872404,0.043315624903901805,2.728731669535044e-91
