,0,1,2,3,4
SeanKilpatrick,1.7561288732978552e-14,7.4896850703223435e-25,0.14012823838129831,4.190633927391288e-206,0.0
NikolaPekovic,1.7561288732978552e-14,7.4896850703223435e-25,0.14012823838129831,4.190633927391288e-206,0.0
MirzaTeletovic,5.137075869384361e-23,0.015515200452241954,0.09425429384427061,1.591618686859987e-253,9.476125266630418e-296
PatrickPatterson,0.04879453843167797,3.0679780831613675e-21,0.07146815360295487,3.7501300674446093e-153,1.1590876904078549e-221
AveryBradley,2.2079696804649256e-30,0.025070784749092342,0.0701511818636629,1.02049698212559e-309,1.4001842329582209e-61
