,0,1,2,3,4
MasonPlumlee,0.0,5.04220319776151e-16,7.257017391649605e-294,0.0,0.1290301114677206
DamienInglis,0.0,5.04220319776151e-16,7.257017391649605e-294,0.0,0.1290301114677206
PaulMillsap,6.2652549168148524e-189,0.02718768329514154,0.0,0.0016360184733371422,0.04137487748515281
DeJuanBlair,0.0,0.02743270805316255,0.0,1.226011674854548e-222,0.030297760326607533
AlexLen,0.02178247699820026,0.010527553395533247,0.016448567168121302,5.373541062034382e-95,0.021033157046300016
