,0,1,2,3,4
PatConnaughton,0.12956110079532104,4.629583542730345e-29,1.7738161478726518e-299,1.8626507764810074e-131,6.367574504504341e-108
BrandonJennings,0.12956110079532104,4.629583542730345e-29,1.7738161478726518e-299,1.8626507764810074e-131,6.367574504504341e-108
SteveNovak,0.12956110079532104,4.629583542730345e-29,1.7738161478726518e-299,1.8626507764810074e-131,6.367574504504341e-108
KendrickPerkins,0.12956110079532104,4.629583542730345e-29,1.7738161478726518e-299,1.8626507764810074e-131,6.367574504504341e-108
KobeBryant,0.12956110079532104,4.629583542730345e-29,1.7738161478726518e-299,1.8626507764810074e-131,6.367574504504341e-108
